tobe_Correct,Correct
,Daman
,Diu
,Dadra and Nagar Haveli
,Anantnag
,Budgam
,Bandipore
,Baramulla
,Doda
,Ganderbal
,Jammu
,Kathua
,Kishtwar
,Kulgam
,Kupwara
,Poonch
,Pulwama
,Rajouri
,Ramban
,Reasi
,Samba
,Shopian
,Srinagar
,Udhampur
,Kargil
,Leh
,Lakshadweep
,Central Delhi
,East Delhi
,New Delhi
,North Delhi
,North East Delhi
,North West Delhi
,Shahdara district
,South Delhi
,South East Delhi
,South West Delhi
,West Delhi
,Karaikal
,Mahe
,Puducherry
,Yanam
,Andaman And Nicobar
,Andhra Pradesh
,Arunachal Pradesh
,Assam
,Bihar
,Chandigarh
,Chhattisgarh
,Dadra And Nagar Haveli
,Delhi
,Goa
,Haryana
,Himachal Pradesh
,Jammu And Kashmir
,Jharkhand
,Karnataka
,Kerala
,Lakshadweep
,Madhya Pradesh
,Maharashtra
,Manipur
,Meghalaya
,Mizoram
,Nagaland
,Odisha
,Puducherry
,Punjab
,Rajasthan
,Sikkim
,Tamil Nadu
,Tripura
,Uttar Pradesh
,Uttaranchal
,West Bengal
,Gujarat
,Telangana
,Daman and Diu
,India
